t_step;PV;Wind
1;0;85
2;0;84
3;0;83
4;0;86
5;0;85
6;0;82
7;4;83
8;17;82
9;43;85
10;77;80
11;116;78
12;152;79
13;188;80
14;198;83
15;182;83
16;158;92
17;127;97
18;101;104
19;72;111
20;41;109
21;18;111
22;4;108
23;0;105
24;0;104
