t_step;load
1;1528
2;1077
3;941
4;841
5;841
6;1026
7;1476
8;1716
9;1955
10;2052
11;2189
12;2301
13;2301
14;2301
15;2518
16;2813
17;3104
18;3278
19;3392
20;3256
21;2983
22;2602
23;2081
24;1436
