bidding,SC_obj,ESS,GEN,WIND_STR,SW,Avg_MP,ϵ1,ϵ2,confirmedNE,solver
MCP,NA,177.57894736842317,325.0000000000059,213.8500000000012,14271.07894736842,28.125000000000142,0,0,false,"OptimizerFactory(Gurobi.Optimizer, (), Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}())"
MPEC-ESS_STR complex,NA,235.57918011943784,500.0000000311195,244.60000001603484,14252.879080382345,31.875000000855124,10,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
MPEC-ESS_STR complex,NA,235.5812776542817,500.00000003239086,244.59999999038575,14252.879080382345,31.875000000855124,1,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
MPEC-GEN_STR quantity,NA,0.0019232950038124133,830.6999989853136,317.9500000348586,13988.551923701469,41.24999997830233,1,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
MPEC-GEN_STR complex,NA,309.57894261742376,556.2504154612029,294.5000129626618,14193.179294305455,38.74999941871938,1,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
MPEC-WIND_STR quantity,NA,0.002711992346057608,725.0000014384065,288.45000388185554,13986.552726526592,37.49999999971287,1,0,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
MPEC-WIND_STR complex,NA,177.57952803286383,325.00072905312754,213.85016609454289,14271.078957402935,28.125018212146472,1,0,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-quantity,empty,229.56727502367312,701.5261185714837,219.93315584993925,14068.111354414956,39.370785849147325,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-complex,empty,378.84596779192714,668.7098632207408,163.40129462391388,14050.942933909155,41.249793402953046,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-quantity,collusive,228.53109942722756,856.3017476490944,104.90714561303832,14029.499528623237,41.250466852267124,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-complex,collusive,258.6286804263514,858.0311301150145,51.14922921192262,14007.760765867635,41.24974074389354,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-complex,competitive,155.47712683730538,768.2390475583052,327.79005487757536,14099.796949150576,42.697217951553135,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-quantity,competitive,167.42530064228106,689.9237368815923,284.3460619609508,14157.476285996465,36.87451265184124,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-quantity,ESS_fav,436.08719961368956,346.8114381924735,256.31174399251853,14075.621485237367,36.87525299323367,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
SCR_NLP-complex,ESS_fav,426.8095332312843,521.2495718420769,288.37089236285334,14076.424563719816,41.247300187882864,1,1,false,"OptimizerFactory(Ipopt.Optimizer, (), Base.Iterators.Pairs(:max_iter=>3000,:print_level=>0))"
PC_MPPDC,NA,373.42083504836773,508.5384962761736,333.9555334243572,14033.178950722786,43.75062331385915,1,0,true,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0))"
G-S,NA,235.5789473684212,549.7499999999932,215.57853185595354,0,0,0,0,false,"OptimizerFactory(Gurobi.Optimizer, (), Base.Iterators.Pairs(:OutputFlag=>0))"
PC_MPPDC,GEN_FAV,164.7260966097712,904.8899575206369,17.45000030630302,13956.930055367358,45.000624976696,1,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
PC_MPPDC,ESS_FAV,446.8289473196985,305.7099968303253,339.4999996502465,13883.328943998673,44.37499999696775,1,0,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
