time_build,time,bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
0.09800004959106445,16.319000005722046,SCR-NC,ESS_fav,426.8289473401743,487.9263004663467,235.7200196104674,13990.377166295662,1150.4752674169883,41.24995373274514,4.0,4.0,false,KNITRO,287.84334722678307,556.2530288764797,242.4889569898616
0.0989999771118164,67.1949999332428,SCR-NC,ESS_fav,326.8289473621527,488.326899131838,259.4723957209182,14071.928459305322,1074.6282422149088,40.62499546223662,6.5,6.5,false,KNITRO,275.993745971221,543.2578150789661,252.09086419498794
0.09200000762939453,159.64000010490417,SCR-NC,ESS_fav,303.9347500633349,558.0952478471953,165.20006989608206,14024.530068215376,1027.2300678066124,40.62499999957343,7.5,7.5,false,KNITRO,259.23193834812827,546.7499672008428,233.97853185596736
0.10400009155273438,48.16799998283386,SCR-NC,ESS_fav,290.04072984451915,571.5140107266143,253.14689324337516,14112.002374504278,1114.7016338145086,40.62498450352055,8.0,8.0,false,KNITRO,229.30656457724817,570.1711255180294,254.50000000558197
0.0970001220703125,34.53500008583069,SCR-NC,ESS_fav,426.82894737293435,530.5249802388182,283.3083599822236,14080.56506802515,1240.662287593976,41.24992089724502,9.5,9.5,false,KNITRO,295.693685418801,556.2542058554766,242.48062347828022
0.11999988555908203,11.09500002861023,SCR-NC,ESS_fav,426.82894713345354,575.3897312363156,223.1314203652102,14065.250320310508,1225.3500987349794,41.24999375574424,10.0,10.0,false,KNITRO,271.91083813176397,463.70093820607235,237.8027014059135
0.10599994659423828,7.700999975204468,SCR-NC,ESS_fav,426.82894724785,537.2680320181764,270.4016259465603,14074.39939412089,1234.4986052125867,41.24997779833309,11.0,11.0,false,KNITRO,301.23340411475385,551.4755887784668,250.2947390854938
0.10499978065490723,38.11399984359741,SCR-NC,ESS_fav,426.8289469614587,553.3511936802788,195.6956900744797,13993.177287744324,1175.8758307162173,43.74995143230332,11.5,11.5,false,KNITRO,256.27236279427484,453.0067646379582,225.85000000000812
0.10200023651123047,24.825999975204468,SCR-NC,ESS_fav,465.0789473673119,456.5514437539594,171.82678833473128,13895.11102583741,1093.4571794560025,43.12488941459661,12.0,12.0,false,KNITRO,279.44500348194225,578.0002012351441,213.84999999986726
0.09399986267089844,46.65299987792969,SCR-NC,ESS_fav,426.82894736398856,588.3633677874059,199.96460837048625,14055.05728090989,1215.1569235218808,41.24998984075597,13.5,13.5,false,KNITRO,269.16360000790087,463.6996113249095,215.03194530481807
0.09799981117248535,57.11300015449524,SCR-NC,ESS_fav,456.52894981658966,422.13760758481556,233.62671322566274,13922.494271665655,1112.293270627068,43.12496992129257,16.0,16.0,false,KNITRO,287.2242956795861,544.8808474780028,242.48215158338417
0.0969998836517334,48.34100008010864,SCR-NC,ESS_fav,465.07894811367674,416.0973509198546,243.12713157646363,13925.953710493584,1124.3034306099948,43.12499274035601,17.0,17.0,false,KNITRO,287.4222446164517,463.71772226217126,254.46761833857875
0.0969998836517334,91.71799993515015,SCR-NC,ESS_fav,465.0969455712062,413.44478295288684,247.30322915250588,13927.464074549865,1125.8449576765988,43.125518437394845,18.5,18.5,false,KNITRO,287.4285920937574,463.71034590201464,254.47287410739324
0.09999990463256836,20.835000038146973,SCR-NC,ESS_fav,465.07894717777776,400.71418652446675,267.2935683471416,13934.73820344959,1133.086702049386,43.12495657124162,19.0,19.0,false,KNITRO,287.42554162794875,463.7126930960826,254.47319513932248
0.10599994659423828,55.70700001716614,SCR-NC,ESS_fav,426.8289399220172,611.9005253204864,169.5845550668931,14048.21993624871,1208.3140203093965,41.249825011555856,19.5,19.5,false,KNITRO,259.34309185877123,463.69742102005694,217.00349980250854
0.0989999771118164,23.036999940872192,SCR-NC,ESS_fav,465.0789486670226,434.152881479447,224.95511465232832,13925.837727077587,1124.1869447987979,43.12497725842455,21.0,21.0,false,KNITRO,271.821434340873,463.70501153364216,225.84510597176316
0.10599994659423828,34.19199991226196,SCR-NC,ESS_fav,426.82894739137413,613.092148790069,171.28332686479604,14051.107234529567,1211.204423046239,41.24991353808663,21.5,21.5,false,KNITRO,258.683265711544,463.699533403773,220.34521864342872
0.0970001220703125,19.521000146865845,SCR-NC,ESS_fav,426.8289474442971,508.5111470858684,317.90912502362863,14093.152178097142,1253.249219553794,41.24991109936198,22.0,22.0,false,KNITRO,299.1340812619872,463.7000395701376,242.48787734793387
0.09800004959106445,23.29200005531311,SCR-NC,ESS_fav,465.0789029096255,415.12593163521944,244.6568666455901,13926.514475339027,1124.861701190435,43.12492075371856,22.5,22.5,false,KNITRO,287.4268802537679,463.7094581955482,254.48027708996364
0.10899996757507324,210.84699988365173,SCR-NC,ESS_fav,465.0789467002275,446.2133296040323,111.3559559231417,13824.298808722597,1022.6482322274014,43.12498595554844,23.0,23.0,false,KNITRO,264.38314578964395,463.70544311675053,219.81440400438782
0.0970001220703125,59.24600005149841,SCR-NC,ESS_fav,485.07894656988407,262.55684059522275,240.55403403857315,13763.842141432484,988.18982120368,43.74993150432216,24.0,24.0,false,KNITRO,287.42757964007,463.7089746705349,245.04177916763413
0.09500002861022949,50.42400002479553,SCR-NC,ESS_fav,426.82894598354164,533.344086467457,278.8928791677435,14078.967772159805,1239.0659116187421,41.24994606986322,24.5,24.5,false,KNITRO,303.79116894766105,556.252335288634,242.48536186618702
